epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1019.75,1.52957,1.71972,1.22199,0.8837,0.49772,0.5474,0.31569,1.44515,1.24669,1.22259,0.000475381,0.000475381,0.000475381
2,2060.96,1.465,1.19359,1.20126,0.85608,0.49969,0.54137,0.31813,1.44672,1.20292,1.23075,0.000904604,0.000904604,0.000904604
3,3066.38,1.43842,1.09032,1.19001,0.92661,0.5183,0.58522,0.35201,1.37273,0.94067,1.19813,0.00128667,0.00128667,0.00128667
4,4030.65,1.4234,1.02407,1.1843,0.91652,0.51243,0.57724,0.3383,1.39974,0.90797,1.19146,0.00121679,0.00121679,0.00121679
